00:00:03 00:00:05  thank you san good
00:46:11 00:46:32  that's what your guys are count of satisfying here but there's a larger component when they do like a title ten war game where that functionally might be coming out of a you know the naval war college or some other entity and you have to be flexible enough to a in just that information as well as generated
00:46:35 00:46:43  absolutely right i think i think what you're going to see here you know depending upon if bison can get the terra san thing up i think we've met the in
00:46:43 00:46:49  is the generation on one side and then showing that we can in jest on the other side
00:46:49 00:46:59  and so i think we're going to show you that we have we have met that requirement just by a little bit of help of just give us access to systems you already have that aren't classified
00:47:01 00:47:02  roger
00:47:06 00:47:10  rate discussion is there anything else on on vine one
00:47:18 00:47:19  i appreciate
00:47:22 00:47:26  he want like this marker so you once at control i'm going to take control
00:47:27 00:47:40  ah all right just just because i i can't stand briefing off a power point when we have better tools and we the show show everybody kind of where we're at so in the past you've heard me talk about vignette too which is going to be e a b o operation
00:47:41 00:47:51  um and so this is what we had in the past you know which was me just putting down an icon in l g raid saying that this is what the concept looks
00:47:51 00:48:18  and and we're doing translations of you know me whipping out my dictionary to be able to figure out hey what's that river in here and we've got some translation here but through some of the efforts of the government and through you know c a e now we're able to inject military maps right over the top that are salable any military person would look at this and we'll instantly know ah hey that's what i'm looking at
00:48:18 00:48:26  he's not trying to do it over shape files that you know when i show a shape file you know oleg talks to me in shape files cause that's how the computer
00:48:26 00:48:42  so we've got now a system with c a e with some of those in jest to where now a military planter can come in and get the next piece of ground and so we've got that working you're going to see that inside the scenario which i know this isn't impressive to
00:48:42 00:49:43  you know maybe others but me as a military planter this is the dream tool to be able to do this and especially now that terra son is going to show you that they can take this if you couldn't give us this map in a machine readable format they can generate that data and and we'll cover that later but this is a planter's kind of dream the other piece of that that i want to go into that's even more impressive and i must show you something that you've seen before but it's it's it is applicable to this vignette and more importantly it's applicable that i can do it as as the dumb grunt in the room and not oleg and all the engineers and so what we've done is we've been able to take that southwest pack that entire scenario that you gave us we've worked with velocity where we've just chopped it down into hay i just want this stuff ingested just for this vignette i don't want to slow it down i just want the forces that are in this vignette and so they were able to take that and they're able to make that injustice something that i can
00:49:43 00:50:02  around in something that i can play with and an example is as they were able to invest all the data that that brian gregg you know gave them inside of there and be able to put things like calm inside of there and it it'll matter this pre view of why i'm showing that kind of matters and what what is super assume is its easy
00:50:02 00:51:01  to be able to get it in there i literally end up just by about five clicks later of just saying hey i'm on the w g c project i want to incorporate then i want to incorporate an ord bat these are all the ones that that alex has given us of spud and all his guys have made that super easy and i know there's a lot here but i'm just kind of showing that like strolling through it to show you how much data there is that he just has sitting inside of his system but even more importantly it's custom sale because i created this vignette inside of spud's system i can go through and find my southwest pack vignette inside of here and up load it and you can see a bunch of tests that we did there it is right there's my vignette i can go in and grab that and get that data imported and i can go through and find that person and see if that radio is on him now to make things easy i was just showing you how i could quickly do that that's already been done
00:51:02 00:51:37  ah you know we are able to go through and lay that out so now we'll get the titles down later we're getting some of the inde so everything you see here is ingested from spud and what he's done with with his assets and i can come in here and start to look at things that that matter ah you know that shows what spud had inside his system i can find that you know that that platoon commander find that r t o and look at his radio and with something we're going to be able to demo later on as we think we'll be able to show the propagation of that radio and we'll show you where we are with the use
00:51:38 00:51:43  so so the good news is that we are making good progress in some of the incest pieces
00:51:44 00:52:12  we're behind you know on some pieces of it we haven't been able to test any of it inside of this terrain with this depth with any of this so far that data is coming over and we've got some some working models which will show you later with the supply but that's as far as we've gotten of being able to do it over here inside of this terrain and it's just a matter of getting the data getting systems to talk for the first time and making sure that prototype will be where we need it
00:52:13 00:52:28  so that is where we're at right now with the e a b o concept again this one is going to be mainly a logistics focused piece of it and so that's what i have as far as the e a b o and where we are inside the sonar
00:52:28 00:52:31  any questions before i move into the next
00:52:37 00:53:38  o k so the next vignette most of you have seen this you know we are going to be able inside of this next vignette we are going to be able to show you a some execution of some saber and some civilian forces inside of this one this is all a test architecture so in other words it's brian gregg said hey here's a ghost this is some data i have with it it's not classified it's the best you can get see if you can run a scenario with that and so we will run a scenario with that we're to get inside of here we've got to basically do some sibert attacks on the civilian architecture taking out routes and cell phone towers so that civilian architecture doesn't you know let the enemy know where we're at against enemy anti ship missiles and some attacks on some of their c two nodes that will limit the effects of those and then we'll have you know some of what brian gregg has given us as far as gar mother ships and gars themselves coming out and executing while
00:53:38 00:53:54  tests you know a test concept of a gos toria boat company along with all its assets actually executing a raid in one of the main port facilities inside of cambodia itself while the kind of autonomous systems are out here
00:53:55 00:54:20  once again we haven't been able to to get a working system up yet we're still getting the last pieces of this in just these systems and settling ing them once we get those then we'll start the testing and making that piece of it happen so really we're still kind of where we were with the sketch and we're finishing the incest on these systems to be able to get ready for the demo
00:54:21 00:54:27  and trying to get us back on track if i end there i think we'll be able to enter any questions on vinet
00:54:29 00:54:38  marcus just one quick one with an ag ray if we have a platform that has a like a search ray or something that's the
00:54:38 00:54:50  the cos and active mode or its emitting is that electronically detectable and does l g ray represent you know the ability to detect an active active signal signal signature
00:54:54 00:54:56  marcus ay i like it o
00:54:57 00:54:59  e
00:55:00 00:55:07  we'll do this in two parts song number one inside of alger yes we we do hazard detection
00:55:07 00:55:09  the party s
00:55:09 00:55:22  but i think the more challenging problem we are trying to solve right now is how to properly pass all that through massive so that not only is that happening in grade and i'm sure ethan
00:55:23 00:55:41  explain how that also can happen inside of ascot but how to communicate the through massive so that if an entity controlled by ascot starts a meaning and algebra controlled censor wants to detect it how do we properly do that and then tying it to the communication structure with
00:55:43 00:55:44  reason
00:55:45 00:55:51  ye i was just going to cover down and say that i believe it supported for all g and that we add fidelity to it on the back end for the
00:55:55 00:55:56  and that's that is supported
00:55:58 00:56:01  it the challenges just to how to get it all through massive but
00:56:01 00:56:03  all the systems of course support
00:56:07 00:56:25  this is shocked ah quick question on vine three and what you're displaying right now so i get the blue i think i get the red i see the yellow and green a and purple a my assumption is but please verify those are civilian a
00:56:25 00:56:26  o
00:56:28 00:56:51  no entities is that correct or that is correct and so what we're trying to do chuck this is this is into a stretch and not a stretch we're trying to teach a couple of different things or get the systems to recognize a couple of things how do i enter civilian structures into massive so this same ship shows up in v b s you know when it's moving in l g raid and inside of ascot
00:56:51 00:57:27  and then you know and those are things that are not ah are not that easy and so that's what we're trying to do say how do we put this in what's called the pill at the massive level that this is a cell phone tower how does that map to v b s that there's a critical cell phone tower how does that map to eat to let them know that that's the signal that we're trying to knock out and we believe having those civilian info structure is in there i changed em from yellows to greens just to show something different would happen at each one of these and so that was just a color coating for me to be able to talk to the team that i need a power plant
00:57:27 00:57:39  a right m we need to be able to model that power plant and we need to get that injected into the massive pill so it can talk you know what happens in l g raid happens in v b s happens in ascot and happens in
00:57:40 00:57:41  so thence wen des are
00:57:42 00:57:43  appreciated
00:57:55 00:58:08  o k jean i hand it back over to you and i think that puts us a little bit more back on schedule we're back to we're over to danny danny you want me to share the the the mass up slide risky work yes please you sure
00:58:22 00:58:30  get a hello run again a so y talking to have the mass of up they hear from coal a engineering
00:58:30 00:58:33  ah so we are
00:58:33 00:59:09  in retrospective yesterday and we're kind of high in a high five in mote at this point we think i helped to support a sooners across our internal team is doing better than it has ever and doing pretty good actually we know it' going to get better but but we feel like there've been a lot of issues that come up and we've also knocked them back out of the park and fixed them were provided documentation and i everything in a relatively quick turn around a and folks even seeing progress on the other side of the fence which makes us feel really good that you know we're answering questions and seeing results
00:59:09 00:59:17  ah so that that that is even high biggest high highest i lighted for us i think all these months ah
00:59:17 00:59:34  we have send more documentation out to developers even ongoing discussions now still how to improve documentation make sure information gets out things are easy to understand when people say they have even minor problems we write tickets and just document the stuff so we want them coming up again
00:59:35 00:59:52  ah then we have also provided several examples of se pos plots for implementing capabilities similar to t i s a and folks have kind o grabbed at quickly and are kind of ready at the next phase of well here's here's what's missin here's what we need to do next that's good
00:59:52 00:59:56  again a sign that we did what we thought we needed to do there at least from our perspective
00:59:57 01:00:06  ah so yesterday we had the time management meeting originally we were scheduled i think for to day but we flip flopped meetings and so was yesterday
01:00:07 01:00:14  but ah the meeting was canary cap of an older meeting but also some time had passed and there were some revelations
01:00:14 01:00:19  on some progress and time management we had yesterday discussed by both us and the stillman
01:00:20 01:00:51  in g raid so a management we we at least have a road map and a kind of a way where we want to go with this thing at the same time the team is implementing some some prototype of the prototype and we were going to take this information and feed it after our september demo and essentially hunker down and really flush out a design for this and internally in our team we are actively preparing for that now so that so again that seems from our perspective to be a pretty good thing it's on track
01:00:51 01:01:01  ah and a part of the next potation for us after september on our side will be to implement some sort of time server which we're in the middle of
01:01:02 01:01:12  aye so that here the bullets as craft planned through september but actually we also presented where we think we'll go in december and march and it may be in face
01:01:13 01:01:22  and ten a c s the case support for datum all changes a lot of discussion about this still an area where we're working in it the team effect you heard some
01:01:22 01:01:31  discussion in the last demo about ah no we're trying to colet data now how do we send these things over to others simulator and
01:01:31 01:01:56  you know what effects the data model we call the pill the the order of battle or the of the orbit or what effects the data on the wire that con were still figuring the stuff out we were figuring out you know how do we represent units or representatives and what's an efficient way to do that that's probably the trick there it is not to overwhelm a simulator with the data it doesn't need but also provide the live detail you gas are loki
01:01:57 01:02:00  so you can figure that out ah
01:02:00 01:02:16  and we have also a interest of solution what we provided in last month provided a disability now to extend the data model and were essentially an enterprise now trying to test it out with folks and try it out
01:02:16 01:02:32  we had the capability as for a is envisioned right now is to extend a data mode was there and so that that's our position at the moment so we're trying at sea does that work can we extend the data model or do we really need a replacement of data
01:02:32 01:02:34  so that's that or a middle figurin
01:02:35 01:02:43  we provided examples in joe et us so i think that covers the mass of stuff if i lets anything out there
01:02:44 01:02:47  the catch is a massive chap tyson
01:02:48 01:02:52  a days the ticing to spirit your one point about the young
01:02:53 01:02:54  about feeding
01:02:55 01:03:14  what sort of surgically feeding the right data to the sins depending upon what they really need versus overwhelming them that's obviously you know a really important point so i deftly be interested in i'm not asked for anything special i just mean doubly something i want to want to follow right as you make progress on that
01:03:16 01:03:25  yup yup yup a lot of brain storming this morning with rot about that actually and i haven't had yet a chance to screech out the old leg bench they and were to have some discussions on
01:03:25 01:03:54  and yet it's a lot of things it's actually everything now everything's got the same theme you know maybe to day's problem is radios or whatever or state or whatever but but we got to solve this problem across the board it's sometimes where we want to look at an i now you know this we talk about it also know the high level aggregate level you know i'm just trying to run a theatre level thing and to see some some picture in that regard and at other times we just got to investigate at the lowest level possible to understand the many gritty little details and we got to support all these different types of
01:04:01 01:04:03  ready to go thank you danny
01:04:08 01:04:13  use your inner face so jo is steve are you out there for excellent for see
01:04:14 01:04:55  i am i want m just of a project manager here at force and i'm going to be kind of running through what we've gone over and worked on for the past few months and then showing some of the functional ity in the actual use no face so the topics all cover are some additional eye frame functional ity i'm enabling kind of toggle and an easy access of the different applications while in the pioneer use no face a new data entry fields that fall under some of the p specks that we've had to give a brief up date on single sign on that's something that's still in development we're going to show that off in the near future and we're using a component called key cloak to do that and what that does is it
01:04:56 01:05:16  logs in on different applications and then gets authentication from that log information and shares proof of it between the application so it enables you to be logged in on multiple applications at the same time and share data between them and then also sign into all you no when you sign into one you sign into all
01:05:17 01:05:37  and then the last thing i'll cover will be an open a p i dock we've been working on and that's that's much more of a a technical kind of under the hood a brief demo that i'll give that will not be something that the user actually works with but will kind of show how the different applications
01:05:39 01:05:40  i'm so
01:05:41 01:05:46  an i takes take a trowl from eugene to go into the arab e head
01:05:50 01:05:53  i can stop sherry if you won't no should be good
01:05:57 01:06:34  ok can everyone see the ease this is the same same landing page as before a calendar and everything maps work the same as before so going into an application or into a war game we've added kind of an additional front dashboard that displays your your war game information and breaks it out from the other faces and then this is functional that has not been completed yet but this is where kind of a file share will be that will enable users to easily up load and share files as they're working on
01:06:34 01:06:36  and had easy access to inform
01:06:37 01:06:50  so going into the different phases what we've done here is we've added by phase and it takes a second to load but we've added by phase the different eye frames m for where we think we'll need them and we can
01:06:51 01:06:55  adjust those as necessary but you can see now that you can pay
01:06:55 01:07:05  different frames easily on wall working on wall editing fields oven if we go for example into develop where we have all three of the applications that we
01:07:07 01:07:16  o you have you rad loaded up you've got i got velocity and you art and will take a second to load here
01:07:17 01:07:35  as a brief demonstration you can you know you can be doing stuff in these in these eye frames and toggle back and forth and they're all still a live session so you know i'll hit i'll hit play here the scenario would start playing out and then you know all that was going on i i could go into five you can
01:07:36 01:08:02  easier navigate i could be you know in this case it's just a the metric catalogue that's loaded up but you know if they were actual metric analyzing what's going on in al g ray they'd they'd be running you'd be able to see them a you could work with data in just a in velocity at the same time and then you know if you look we'll go back to al g ray and you'll see that you know this has been progressing and happening the entire time and so so this keeps all the applications going at once
01:08:03 01:08:10  i could edit and enter data here and that's a kind of the functional that we've incorporated with the
01:08:11 01:08:13  book with a different application
01:08:13 01:08:14  at this time
01:08:14 01:08:20  m you'll see that you know or repeat the arms application when you're switch back and forth m
01:08:20 01:08:24  maintains the session and keeps you in the proper spot level
01:08:24 01:08:41  so the next thing i'll go into is in the different the different specs that we've ah put attribute fields in that enable the users to enter data and so kind of go down the lists and give up a brief ah
01:08:41 01:09:25  a brief showing of each one so the first one is you know you can see now we've added location for a in putting the war game project planning team members so that a p spec nine zero nine same with stake holders as well that's p spec eight seventy one and right now these are these are just dumb simple text fields that the kind of changes manually but absolutely intend a to work up with functionally of futures for them to be you know associated with users that you know you're long ten as and you can you know you get picked users you can you can decide exactly who's going to be and it's a search able data base so that you can assign people am associated with ca and so so on and so
01:09:26 01:09:29  i'm moving on to a
01:09:29 01:09:34  sign phase of the organic i introduced the ability to select
01:09:35 01:09:50  your scenario type so that's part of spe nine twenty three m and that so there's you know a whole host of auctions here that that were listed under f t c for er drop down men that you can select from
01:09:51 01:09:55  im thinking with a piece back
01:09:55 01:10:21  nine zero one for game structure i'm sorry i an i think woud go back a little bit for nine o nine it was a little fast too to compare with some of the f t c oh im so amen this is just i hear on just when we just took the list of f t c and made sure that each one of them was an option from the from the drop down
01:10:21 01:10:31  are ye able to see the chat that ken peterson put in ah not this time now no shore it's so di ay again
01:10:32 01:10:35  yes you have but i put those empty seas up there
01:10:36 01:10:40  o ah he added if you knows any clarification dan
01:10:43 01:10:51  um and so then coming down to similarly he same drop down style list for a war game format
01:10:52 01:10:56  on which it falls under the barium structure p spec nine zero one
01:10:57 01:11:11  the f t c that were listed under that one and then similarly for pa nine two nine a your your time progression method saying you can kind of select as a turn base is it is it faster than real time how
01:11:12 01:11:20  how the ah how the the warran will progress and if necessary in it we ken we can add additional option
01:11:20 01:11:44  remove options or tweak them completely as required and then for p p eight seventy three m there's there's ability to put out assumptions and fi and that's m there's actually a kind of two there's there's technical assumptions and fi all in the fine phase and there are
01:11:44 01:11:48  on planning assumptions and aries which fall under the scope face
01:11:49 01:11:57  yes so could you go back to that screen you were just at where you're defining ah the scenario designs
01:11:58 01:12:03  no no she's the one that's a love
01:12:03 01:12:23  ok yo so when you are going through and up dating you show the different drop downs in everything u how flexible are those drop downs different menu options are they a considerable so if down that a new type it doesn't require new programming
01:12:23 01:12:25  that is that is correct yes
01:12:26 01:12:31  they're they're easy to change and adjust as as necessary based on
01:12:31 01:12:34  developing requirements going forward
01:12:34 01:12:48  e requirements so would require coating to a new one sites i meant i meant just to know as the as circumstances changed not not not requirements in the same sense of me
01:12:49 01:12:56  eet ees not so cold dis very easily i could go in and i could change the adoptions am
01:12:56 01:12:58  it would not take long or a few minutes
01:12:59 01:13:07  ok but there's a menu for an administrator that can go away to make those adjustments yes as ever o k i appreciative
01:13:07 01:13:11  and you may want different ones for different war games
01:13:12 01:13:13  that s white
01:13:16 01:13:18  very very easy
01:13:19 01:13:28  so any penning any questions on the the attribute fields i will go into the a p i dock for a bit
01:13:29 01:13:47  and so as i said just to briefly touch on single sign on that something that's still in development but we've made good progress with it and we were going to start working on integrating with the other t members starting next week believe we've successfully been able to to test the component on inside of force
01:13:48 01:13:50  noko
01:13:50 01:13:55  his key cloak accepted currently within the i c o do dears that
01:13:56 01:13:57  something that will have to do
01:14:01 01:14:11  i'm not sure to what extent it's been used in the wider deity community but i mean it's a component that we have
01:14:12 01:14:17  complete control over am within our application so i don't foresee ben
01:14:18 01:14:19  rode
01:14:21 01:14:53  s so moving on to the the open p i dock again this is much more of a technical demonstration and you know s we kind of added new points of an improved functional ity for for m getting attribute information and and kind of exercises and attributes communicating effectively with the a p i and communicating with other systems but this is this is much more of a kind of a brief developer oriented a part of the demonstration
01:14:53 01:14:55  i i'll pull out of now
01:14:56 01:15:45  and so this is the the opening p i man units got a lot of functional ity that's that is meant for kind of wider ego applications but when it comes to worryin it will focus on this area called exercises and so what this does is this enables you to go in and you can either depending on the type of information you want you can pull information that covers a wide range of exercises or or just a few a narrow subs and then you can also determine do you want all the information for an exercise or do you want you know just kind of the key header data so this one will give me a lot of information for each exercise and what this enables other applications to do is using e this information they can code and share data from their
01:15:46 01:16:00  and pull data from the pioneer user inter face so pu pull data from these data fields and incorporate it um you know into the applications that are in the eye frames and vice versa they can also share data from the eye frames that will go into these data
01:16:01 01:16:06  unto this is conscious the first wider on detailed search
01:16:06 01:16:29  including everything searched i talked about so when i searched it you'll see now these are current war games ah and you'll see these ones have not been put up with too much information but if we go down to the southwest pacific demo there's tons of information for all of these these different attribute fields you pro statement and all the data is in here and it can be pulled and easily looked at and accesses by other
01:16:29 01:16:47  a and so then going down to if you just want yes that's a lot of information if you just want kind of the simple and i just want to know what war games exist in the system right now this one surges it and it just tells you kind of the basic title information for each war game and without all that additional
01:16:47 01:17:15  ation and so then using this i can take the key from this ap from this war game and i can go and look for specific attributes related to the war game or look for information within the war game so if i put the key from south west specific in here and execute it will display all the different attributes that that are in south wood specific and so what this does is is using this
01:17:16 01:17:25  the the curl and the u are all here this enables other applications to pull this data out of not m and and put it you know in their applications as
01:17:26 01:17:29  and then what ought specifically show is
01:17:29 01:17:38  i'm going to this this kind of the opposite so this enables applications to talk to exit so i've already looked up this information ahead of time
01:17:39 01:17:52  run smoother am but i'll do a for metric because that's something that will work the hive and so say your you know you have your looking am
01:17:52 01:17:59  here looking at your war metrics and you know right here it says percent i value targets destroy
01:18:00 01:18:12  and then say you were in a going through your matric for specific war game and you decided that instead of a per cent be targets destroyed you wanted a
01:18:13 01:18:16  to look out to fire let be
01:18:17 01:18:34  so not very easy again this is all based on coating that would happen on the back end why if you know somebody selected that option in hive and this is integration that's jobs to happen but i execute her we'll see is now going back to this screen
01:18:34 01:18:57  it was cent hi target sort a second ago and now its supply rates so what this demonstrates it the capability of using this open at framework information from here can be pulled into hive and vice versa that's functionally that hasn't been fully developed yet but this shows that you know kind of where the capability will go in the future of
01:19:00 01:19:04  pending any questions ah that's everything i've got for the force
01:19:07 01:19:10  yes i have one question go ahead him sir
01:19:12 01:20:07  ought to see my this tyson i'm back on your on the eye frames and the key cloak authentication just going to ask you so i you know based on the security controls and those kind of requirements on the stuff lake would it be and i don't know how key cloak works right but i'm just curious so let's say you got several different you know frames up you got the different tools open and you're not interacting with one of them for a while would it you now would you be constantly being kind of logged out of the different pieces and have to log back in or is it sort of maintaining that i ever noting work it it will maintain it will that set some of the integration that we have not done yet m but once one fully integrated yes key cloak will automatically send that information if you click to it to the eye frame you know it will will re remain the same single session
01:20:08 01:20:17  and so if you were to log out to you o you log if you actually went and logged out it would log out of them all but as long as you remain logged in and whatever you were working on it would refresh the
01:20:20 01:20:25  i see thinks don d you have any fall upon that or is that get in thy answer
01:20:31 01:20:35  mason i think that was a smet who answered i ask the original
01:20:37 01:20:44  i is just asking doc something about security controls and i don't want to say security controls without giving don a chance to say what e's talking about
01:20:46 01:20:48  now at the good question he brought up and
01:20:48 01:20:52  as we've been going through this i guess they're over all them of discontent cas
01:20:53 01:20:55  the t was just delivered to us
01:20:58 01:21:00  you know what these headings we're talking about
01:21:01 01:21:08  thinking out loud you know we're going to make sure of it we're not changing something that in like conflict with a surety control but
01:21:10 01:21:16  but this one specifically out you know if a one of the questions i ask is is does this require like an amant function to go in
01:21:17 01:21:24  stop you stay tradin if so you're goin to have it an old token which yo goin have to take out you know when you con of don
01:21:24 01:21:26  oh i don't see the issues with that
01:21:27 01:21:30  over all we do see to make sure that and were not in any conflict
01:21:31 01:21:32  the rock controls
01:21:38 01:21:41  sans good year the me sans
01:21:43 01:21:51  one other question if possible spring gregg just just the question as we're looking at the metric
01:21:51 01:21:56  content that you are just showing it is the ambition that you have to
01:21:57 01:22:51  cause as you described it it sounded like were planning out active integration where as a metrics assessed from simulation output in the hive system you're tracking it you're envisioning then that you know exercise control folk are actively monitoring and managing the game from an exercise control perspective with accident not just as a design of preparation tools as that fair thee and i think depending on how they wanted to do that a you that could be within hive a in an accident you know this this b this is hive metric analogue to a it could be this could be you know actual ate bash bord a within a
01:22:52 01:23:02  you know within on one of these frames with with leg rayed in another frame going simultaneously but at the same time it would also be possible to know just in the action
01:23:02 01:23:10  i also have you know in one of the economic boxes on various reflections of the of the analytic data
01:23:13 01:23:21  i can just add to that sory and the er within hi of it all o different people to log in to give them only access to
01:23:22 01:23:24  either the mole or clive
01:23:27 01:23:31  like how you described how it was a channel log you know it cut up
01:23:31 01:23:37  it's ease you know cone as from an over view perspective a
01:23:38 01:23:42  organizes the data in a sensible
01:24:01 01:24:05  is that it for you joe hip that's everything that's everything for me
01:24:05 01:24:20  o k m if no more questions there were to go over to i chuck jake with now from c a e cot you want me to share the slide or if you can share the slide that'd be fun and then i'll switch over to share in some content so we can walk through
01:24:23 01:24:32  while he's doing that jean this chief from for c i did some checking and key cloak looks like it's fully integrated with d o d p k
01:24:34 01:24:38  chief and i want you to pass the mike that joe did a great job
01:24:40 01:24:42  s do you know
01:24:45 01:24:46  o k chuck
01:24:48 01:24:53  ok so marcus stole a little bit of our thunder by showing some of the integration
01:24:54 01:24:58  we have gone through on the t g s side and have made changes to the app
01:24:58 01:25:02  to support both consumption of d and c chart server data
01:25:02 01:25:04  e forgettin that chart server for
01:25:05 01:25:08  of time and effort to go through and do all the styling and symbology that's
01:25:10 01:25:21  and then we've also gone through and added in support for military maps which marcus showed you integrated in l g bain this is all kind of new and fresh so there're still some active integration efforts going on as far as
01:25:21 01:25:38  server performance and those kinds of things but what we'll show to day is some of the map layers that we've integrated the slide i've got it written down as t l m fifty and hundreds along with jog maps but we've actually expanded it out to include a larger list of maps than i'll show you shortly
01:25:39 01:25:42  and then the dancy chart server sorry for the
01:25:43 01:26:05  the d n c chart server is integrated what we've done for the d n c chart servers we left the sop word alone we didn't really want to touch it so we've created a dock or container that runs the d n c chart server and we are streaming that data to t g s so that all content comes from t g s as far as the operators are concerned and the applications are concerned we're going to go through and manage those that way within control access
01:26:07 01:26:10  so i will start sharing
01:26:11 01:26:12  see my screen
01:26:20 01:26:37  yes right so nothing too sexy to show here right out of the gate amy what we have is t m fifties over over the little same area that we've been doing a lot of our training you can see in the bottom right hand corner i have actually just cried a little j peg of where we've down to this date
01:26:37 01:26:56  these maps came from men's map of the world web site so we down loaded the content and we've gone through and expanded from the t m and the jog as to include the full list of maps that you see in the upper right hand corner so we've got the g n c the g n c the jogs the o n c maps the t p c maps
01:26:58 01:27:03  a at a high level o o n c and up the one to one million and higher
01:27:04 01:27:09  one to five million g and c maps they have global coverage for those maps from the n
01:27:09 01:27:11  you can go through and we'll have the full sweet
01:27:12 01:27:16  implemented later on right now we just have the a o i that i've shown you in the bottom
01:27:16 01:27:19  on the t p c the jug on
01:27:19 01:27:25  the jog and the t l m maps there's a little bit more sparse coverage on those maps and so in some instances you'll see areas
01:27:26 01:27:28  and there where those maps don't exist
01:27:30 01:27:44  so these are copies we down load the data we convert these cates to jets and then we are streaming them through the go server so as the operator scrolls in and out you'll see it start to page in a different data at the different data layers
01:27:46 01:27:47  my slower case
01:27:47 01:27:49  trying to do a demonstration
01:27:54 01:27:56  and because so i receive an urchin
01:27:56 01:28:03  when we when when we go through to the different zoom scales what you'll notice is that it's starting to switch through the different types so we see the jog
01:28:03 01:28:06  now when the one five hundred came
01:28:06 01:28:10  and we've got coverage support firm for large areas
01:28:13 01:28:14  this was
01:28:14 01:28:28  this is one area where there's going to be a little bit of a static data dump that has to happen the other one that we worked on was support for the d and c maps now this one is still a very active integration there's a couple of reasons for it i'll talk about
01:28:30 01:28:38  on the d and c maps the server is running in a separate server and we can go through when we can stream out the w m s streams that provide map
01:28:39 01:28:42  and you'll get more and more and more detail as you zoom into areas
01:28:48 01:28:59  one area that hasn't been kind of flushed through completely is on the w f s side where we're going to pass the features from this dance chart server
01:28:59 01:29:11  across to folks like the bohemians v w s so that they can then consume all these points that produce the metre data set that goes along on the tile floor on the ocean floors
01:29:11 01:29:18  so that's that's a very active area and earlier discussions talking about the depths of the water there you can kind of see it's not sue
01:29:19 01:29:24  and there would be submarine issues in some spots that you wouldn't be able to tell from just a regular picture
01:29:26 01:29:33  that is kind of everything in the nutshell that we have right now i think that the
01:29:33 01:29:40  the dance map support will be integrated with l g raid within the next week so i would expect it for the september demonstration as far as the
01:29:40 01:29:42  d see maps go
01:29:44 01:29:47  and i don't have much to with was that quester
01:29:47 01:29:51  as up the you n got question on it so am
01:29:52 01:29:59  but were i to chuck a and i i should going to be meeting with a
01:30:00 01:30:07  ore spanish in the nob ocean next week at m c i a
01:30:08 01:30:17  we we can't a made this a kind of just to see if it helps does it sound like we should be starting to talk to them about a longer term
01:30:18 01:30:21  im the supporter poacher
01:30:22 01:30:45  i think the way we implemented it we could we can do a lift and shift kind of a thing if they were to go through do up as to the neal chart server we could just take new releases of that chart server and integrate them quickly into the docker containers and push them back out onto the as time goes on so if there are new features that are getting developed in their space then it does make sense in some capacity to have reach back
01:30:48 01:30:49  i answer your question
01:30:50 01:30:53  ye wor wor william
01:30:53 01:31:03  perhaps i have some kind of a way with them so that they can can let you guys know and this is post
01:31:03 01:31:16  you know a c three kind of things but we're trying to line up these agreements so this was the this wasn't on the original list so i would think this would be one that we wouldn't want to keep some reach back to those skies as things in all
01:31:17 01:31:41  took it thank you i think that the effort an we've tried to make it as simple as possible you know we follow their general installation instructions into the doctor containers we don't touch their code we don't touch anything we just stream it out and then we manage the streams through t g s so putting a new new chart server in and making sure that things were working similar fashion we shouldn't be all that
01:31:42 01:31:43  now that we've nailed down some of the
01:31:45 01:31:47  pensive
01:31:50 01:31:56  ave a quick one if he a question regarding the map my service
01:31:56 01:32:02  so obviously the map the radical map sir or one of our bigger you know
01:32:02 01:32:04  data storage
01:32:04 01:32:18  hogs if you will so in terms of o k go here to to t g s i've perused the maps that are available and then how am i bundling those for use from a display perspective in the other system
01:32:19 01:32:38  are you planning to a are you planning to a publish those o be a map sure could you briefly talk about how that you in vision that working so so just like we saw with ole ole suffer we didn't provide ole with any new map content he actually was taking the streams directly from the t g s instance to be able to
01:32:39 01:32:43  rendering those maps so we would have one copy of the maps on the t g s server
01:32:44 01:32:49  and we would stream them out through the web protocols to the different applications that wanted to render
01:32:49 01:32:50  the man
01:32:53 01:33:19  again then one more question so so you mention on one of the charts the the idea of implementing operational graphic right and so obviously when a user draws operational graphic that are tied to their you know let's say a play or course of action for example it's heavily dependent on what background rafter map they're looking at are you envisioning that being done in t g s or are you envisioning that being done in a different
01:33:20 01:33:31  i think i'd have to lean on oleg on this one but i think that the operational graphic would be in a different system t g s would just be supplying the back trap that was being used for those for that
01:33:32 01:33:36  then can you elaborate on what you mean by the operation graphic as being heavily
01:33:36 01:33:39  related to what they had been drawn on top of
01:33:40 01:34:21  they are cause you think about it what you're what you're looking at by way of the map a background is when you draw operational graphic you might get down to considering a feature like a road or a river as being a boundary so just important when someone is physically drawing graphic you know what what map background they have and as you know there can be you know subtle differences between the projections of different map sheets which the system can help fix but you still often have this case of simply differing levels of resolutions that are visible to
01:34:21 01:34:29  you know a few will users players you know at that allow them to draw the graphic to a certain degree of detail so i it does make a difference
01:34:29 01:34:36  you know what the map background is that players are using when they create graphic especially for ground for ground
